Abbreviation,Taxonomy ID,relevant taxonomy,Scientific name,Lineage.set,BUSCO_completeness,BUSCO_single,BUSCO_duplicated,BUSCO_fragmented,BUSCO_missing,PreLECASubset,Download location,Ref,Download date proteome,fasta_header_type,proteome_fasta_file,Genome/transcriptome,Genome_location,SMC2,SMC4,CAPH,CAPG,CAPD2,CAPH2,CAPG2,CAPD3,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
DIPROT,190327,CRuMs,Diphylleia rotans,eukaryota_odb14,91.83673469,,,2.040816327,6.12244898,True,EukProt,,20220328,eukprot,EP00002_Diphylleia_rotans.fasta,transcriptome,,DIPROT004444,DIPROT027572,DIPROT034944,DIPROT037999,DIPROT020081,DIPROT035654;DIPROT035652;DIPROT035655,DIPROT023150,DIPROT028184;DIPROT028187;DIPROT028188,DIPROT023069;DIPROT023071;DIPROT023068,DIPROT011248;DIPROT011246,DIPROT014403;DIPROT014402,,DIPROT011177,DIPROT031871,DIPROT010085;DIPROT010083;DIPROT010082;DIPROT013609;DIPROT013613,DIPROT033196;DIPROT033198,DIPROT014770;DIPROT015395;DIPROT014769,DIPROT006670,DIPROT004271,DIPROT020576,,,DIPROT033299,,DIPROT037872;DIPROT037871,DIPROT023063;DIPROT005270;DIPROT005271;DIPROT005272;DIPROT005273;DIPROT030574;DIPROT023061,DIPROT000800;DIPROT000801,DIPROT036560,DIPROT020273;DIPROT020275,DIPROT027251,,DIPROT034089
MANSPH,2983909,CRuMs,Mantamonas sphyraenae,eukaryota_odb15,91.43968872,,,1.945525292,6.614785992,True,Jolien,,20221107,generic,Msphyraenae_augustus.hints.aa,genome,Jolien,MANSPH004950,MANSPH000124;MANSPH000358,MANSPH005521,MANSPH006913,MANSPH004431,MANSPH000135,MANSPH009011,MANSPH003632,MANSPH007835,MANSPH001320,MANSPH001363,MANSPH008547,MANSPH003860,MANSPH000841,MANSPH004327,MANSPH004537;MANSPH001322,MANSPH000064,MANSPH008853,MANSPH000476,,,MANSPH007340,MANSPH005691,,MANSPH009245,MANSPH004850,MANSPH006291,MANSPH007272,MANSPH001061,MANSPH003532,,
ARCINT,1963864,Amoebozoa,Arcella intermedia,eukaryota_odb16,85.50185874,,,1.486988848,13.01115242,False,EukProt,,20220328,eukprot,EP01124_Arcella_intermedia.fasta,transcriptome,,ARCINT009206,ARCINT002475;ARCINT010055;ARCINT010054;ARCINT002477;ARCINT002478,ARCINT012047,ARCINT012026;ARCINT035230;ARCINT012027;ARCINT035232;ARCINT035228,ARCINT008908,ARCINT001635,ARCINT003481;ARCINT012146;ARCINT003480,ARCINT015592,ARCINT001873,ARCINT008967,ARCINT003232;ARCINT031084,ARCINT027719;ARCINT027720,ARCINT022720;ARCINT022718,ARCINT004053,ARCINT028527;ARCINT011815,ARCINT011276,,ARCINT005059,,ARCINT035230,ARCINT024054,,ARCINT028844,,ARCINT006723,ARCINT000504;ARCINT000502;ARCINT000503,ARCINT013989,ARCINT023071,ARCINT017457,ARCINT011855,,ARCINT026737
VERVER,5778,Amoebozoa,Vermamoeba vermiformis,eukaryota_odb17,89.23076923,,,3.461538462,7.307692308,True,EukProt,,20220328,eukprot,EP00029_Vermamoeba_vermiformis.fasta,transcriptome,,VERVER009147,VERVER007024,VERVER009047;VERVER014506,VERVER009210;VERVER009211;VERVER008505;VERVER009497;VERVER009194;VERVER014769,VERVER011175;VERVER002410,VERVER003677,VERVER009848,VERVER004093;VERVER000851;VERVER000505,VERVER005939,VERVER008043,VERVER009284,,VERVER008135,VERVER005435,VERVER002662;VERVER011744;VERVER002229,VERVER001457,,,VERVER014039,,VERVER001562,,VERVER010360;VERVER012832,,VERVER009982,VERVER006189,VERVER013010,,VERVER013134,VERVER008812,,VERVER001281
ACACAS,5755,Amoebozoa,Acanthamoeba castellanii,eukaryota_odb18,96.09375,,,1.171875,2.734375,True,Laura Eme,,20221128,generic,Ac_Neff_total_Jun3.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/020/605/GCA_021020605.1_ASM2102060v1/GCA_021020605.1_ASM2102060v1_genomic.fna.gz,ACACAS013749,ACACAS015136,ACACAS006525,ACACAS002300;ACACAS011329,ACACAS011155,ACACAS011682,ACACAS008893,ACACAS011765,ACACAS001419,ACACAS013718,ACACAS003976,,ACACAS003125,ACACAS007522,ACACAS014914,ACACAS000857,ACACAS014464,ACACAS000532;ACACAS003619,ACACAS014590,,ACACAS004220,ACACAS010391,ACACAS007907,,ACACAS010211,ACACAS004875,ACACAS014708,ACACAS003574,ACACAS006712,ACACAS000486,ACACAS000816,ACACAS004677
ENTHIS,294381,Amoebozoa,Entamoeba histolytica HM-1:IMSS,eukaryota_odb19,53.99239544,,,4.942965779,41.06463878,False,ftp://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/entamoeba_histolytica/pep/Entamoeba_histolytica.JCVI-ESG2-1.0.pep.all.fa.gz,,euk4,ensembl,Entamoeba_histolytica.JCVI-ESG2-1.0.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/entamoeba_histolytica/dna/Entamoeba_histolytica.JCVI-ESG2-1.0.dna.toplevel.fa.gz,ENTHIS002011;ENTHIS007267,ENTHIS008045,ENTHIS000204;ENTHIS007101,ENTHIS001082,ENTHIS005518,,,,ENTHIS002093,ENTHIS006583,ENTHIS003576,,ENTHIS002505,ENTHIS003013;ENTHIS003012,ENTHIS008110,,,ENTHIS003184,,,ENTHIS004815;ENTHIS005761,,ENTHIS004651,,ENTHIS004115,ENTHIS007236;ENTHIS001376,ENTHIS005072,ENTHIS001858,ENTHIS006794,ENTHIS002694,,
MASBAL,108607,Amoebozoa,Mastigamoeba balamuthi,eukaryota_odb20,80.30888031,,,4.247104247,15.44401544,False,EukProt,,20220328,eukprot,EP00727_Mastigamoeba_balamuthi.fasta,genome,https://bioinformatics.psb.ugent.be/gdb/mastigamoeba/,MASBAL014838,MASBAL004554,MASBAL014212,MASBAL007559;MASBAL005064;MASBAL006923;MASBAL002475,MASBAL012887,MASBAL005482,MASBAL000617,MASBAL009083,MASBAL006668,MASBAL010304,MASBAL003312,,MASBAL010117,MASBAL004641;MASBAL014707,MASBAL008825,,MASBAL004376,MASBAL006021,MASBAL008417,MASBAL007599,MASBAL012742;MASBAL012169,,MASBAL009220,,MASBAL003164;MASBAL000319,MASBAL014327,MASBAL004386,MASBAL001121,,MASBAL006506,,MASBAL012767
PLAFUN,1890364,Amoebozoa,Planoprotostelium fungivorum,eukaryota_odb21,94.55252918,,,3.112840467,2.33463035,False,http://ftp.ensemblgenomes.org/pub/protists/release-52/fasta/protists_amoebozoa1_collection/planoprotostelium_fungivorum_gca_003024175/pep/Planoprotostelium_fungivorum_gca_003024175.ASM302417v1.pep.all.fa.gz,,20220419,ensembl,Planoprotostelium_fungivorum_gca_003024175.ASM302417v1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-52/fasta/protists_amoebozoa1_collection/planoprotostelium_fungivorum_gca_003024175/dna/Planoprotostelium_fungivorum_gca_003024175.ASM302417v1.dna.toplevel.fa.gz,PLAFUN015765,PLAFUN015353,PLAFUN008033,PLAFUN005532;PLAFUN002666,PLAFUN002057,PLAFUN014489,PLAFUN002944,PLAFUN012662,PLAFUN010394,PLAFUN015584,PLAFUN013804,,PLAFUN010824;PLAFUN006603,PLAFUN009652,PLAFUN015964,,PLAFUN014592,PLAFUN006033;PLAFUN013030,PLAFUN007635,,PLAFUN004393;PLAFUN001581,PLAFUN006254,PLAFUN014100;PLAFUN016673,,PLAFUN007882,PLAFUN004523,PLAFUN001477,PLAFUN005951,PLAFUN015984,PLAFUN013499,PLAFUN011948,PLAFUN012760
PHYPOL,5791,Amoebozoa,Physarum polycephalum,eukaryota_odb22,81.22605364,,,5.747126437,13.02681992,True,EukProt,,20220328,eukprot,EP00026_Physarum_polycephalum.fasta,transcriptome,,PHYPOL001133,PHYPOL000920,PHYPOL014935;PHYPOL003906;PHYPOL012387,PHYPOL000606;PHYPOL022184;PHYPOL001177;PHYPOL000432,PHYPOL000844,PHYPOL004591,PHYPOL001187,PHYPOL000676,PHYPOL000832,PHYPOL000796,,,PHYPOL000605,PHYPOL000488,PHYPOL000930,PHYPOL003667,PHYPOL004662,PHYPOL009169;PHYPOL023332,PHYPOL018402,PHYPOL017271,PHYPOL004949,PHYPOL010463,PHYPOL000100;PHYPOL021376,,PHYPOL001644,PHYPOL000990,PHYPOL006727,PHYPOL015612;PHYPOL024100,PHYPOL012192,PHYPOL007983,PHYPOL009789,PHYPOL008570;PHYPOL013574
DICDIS,44689,Amoebozoa,Dictyostelium discoideum,eukaryota_odb23,93.41085271,,,1.550387597,5.03875969,False,ftp://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/dictyostelium_discoideum/pep/Dictyostelium_discoideum.dicty_2.7.pep.all.fa.gz,,euk4,ensembl,Dictyostelium_discoideum.dicty_2.7.pep.all.fa,genome,ftp.ensemblgenomes.org/pub/protists/release-34/fasta/dictyostelium_discoideum/dna/Dictyostelium_discoideum.dicty_2.7.dna.toplevel.fa.gz,DICDIS011927,DICDIS012867,DICDIS004468,DICDIS010436;DICDIS009447;DICDIS007347,DICDIS005406,DICDIS004383,DICDIS000947,DICDIS009092,DICDIS004295,DICDIS007845,DICDIS008320,,DICDIS011531,DICDIS007746,DICDIS011251,DICDIS011087,DICDIS010586,DICDIS009747,,,DICDIS012869,,DICDIS001690,,DICDIS001972,DICDIS001027,DICDIS010725,DICDIS009393,DICDIS012027,DICDIS001196,DICDIS012883,DICDIS003778
POLPAL,670386,Amoebozoa,Polysphondylium pallidum PN500,eukaryota_odb24,86.77042802,,,7.392996109,5.836575875,False,ftp://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_amoebozoa1_collection/polysphondylium_pallidum_pn500/pep/Polysphondylium_pallidum_pn500.PolPal_Dec2009.pep.all.fa.gz,,euk4,ensembl,Polysphondylium_pallidum_pn500.PolPal_Dec2009.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_amoebozoa1_collection/polysphondylium_pallidum_pn500/dna/Polysphondylium_pallidum_pn500.PolPal_Dec2009.dna.toplevel.fa.gz,POLPAL007931,POLPAL000162,POLPAL000657,POLPAL003485;POLPAL004366;POLPAL003397;POLPAL000729,POLPAL009275,POLPAL009768,POLPAL001624;POLPAL001623,POLPAL002788,POLPAL010177,POLPAL004369,POLPAL005235,,POLPAL005244,POLPAL004370;POLPAL004371,POLPAL008065,POLPAL003937;POLPAL003938,POLPAL003949,POLPAL009237,,,POLPAL010386;POLPAL002734,,POLPAL012294,,POLPAL002793,POLPAL007323,POLPAL001702,POLPAL010116,POLPAL005904,POLPAL000701,POLPAL001495,POLPAL001930
LENLIM,1653305,Breviatea,Lenisia limosa,eukaryota_odb25,46.94656489,,,18.70229008,34.35114504,True,EukProt,,20220328,eukprot,EP01086_Lenisia_limosa.fasta,transcriptome,,LENLIM009915;LENLIM015343,LENLIM001202;LENLIM001201,,,LENLIM004436,LENLIM012018,LENLIM010891;LENLIM005156,,LENLIM017679;LENLIM001500,LENLIM012780,LENLIM003011;LENLIM009210,LENLIM004672;LENLIM004673,LENLIM007382;LENLIM003107;LENLIM014206,,,,LENLIM017550;LENLIM014379;LENLIM008657,,,,,,,,LENLIM009005;LENLIM003153,LENLIM007063;LENLIM014434,LENLIM015306,LENLIM002253,LENLIM001494,LENLIM014479,,
PYGBIF,1277256,Breviatea,Pygsuia biforma,eukaryota_odb26,62.35294118,,,14.90196078,22.74509804,True,EukProt,,20220328,eukprot,EP00033_Pygsuia_biforma.fasta,transcriptome,,PYGBIF004360;PYGBIF005843,PYGBIF007901;PYGBIF005650;PYGBIF006767,PYGBIF004714,PYGBIF008815;PYGBIF007427,PYGBIF005883;PYGBIF006345,PYGBIF004295,PYGBIF009344,PYGBIF008909;PYGBIF009365,PYGBIF002257,PYGBIF006425;PYGBIF003483,PYGBIF006239,PYGBIF002811,PYGBIF005982;PYGBIF004478,,PYGBIF006626,PYGBIF007498,PYGBIF003304,,,,,,PYGBIF008489;PYGBIF009049,,PYGBIF005727;PYGBIF008331,PYGBIF001930,PYGBIF003771,PYGBIF005178,PYGBIF006019,PYGBIF003456,,
THETRA,529818,Apusomonadida,Thecamonas trahens,eukaryota_odb27,81.56862745,,,7.058823529,11.37254902,True,ftp://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_apusozoa1_collection/thecamonas_trahens_atcc_50062/pep/Thecamonas_trahens_atcc_50062.TheTra_May2010.pep.all.fa.gz,,euk4,ensembl,Thecamonas_trahens_atcc_50062.TheTra_May2010.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-34/fasta/protists_apusozoa1_collection/thecamonas_trahens_atcc_50062/dna/Thecamonas_trahens_atcc_50062.TheTra_May2010.dna.toplevel.fa.gz,THETRA006741,THETRA008619,THETRA008854,THETRA006039,THETRA010560,THETRA002881,THETRA005850,THETRA002546,THETRA000962,THETRA001906,THETRA005287,THETRA003336,THETRA002004,THETRA001824,THETRA005671,THETRA000263,THETRA005203,THETRA004799,,,,,THETRA002956,,THETRA007939,THETRA009896;THETRA007138,THETRA005478,THETRA007659,THETRA001530,THETRA003819,,THETRA002059
PARATL,1993908,Opisthokonta,Parvularia atlantis,eukaryota_odb28,76.24521073,,,18.3908046,5.363984674,False,EukProt,,20220328,eukprot,EP00160_Parvularia_atlantis.fasta,transcriptome,,PARATL019656,PARATL022014,PARATL005663;PARATL005664,PARATL005871;PARATL005865;PARATL005866,PARATL001935;PARATL004605;PARATL001936;PARATL004607,PARATL002874;PARATL002873;PARATL007803,PARATL005352,PARATL002128;PARATL007746;PARATL009572;PARATL002132,PARATL016192;PARATL016196,PARATL020918,PARATL000626;PARATL016284,PARATL009280,PARATL004566;PARATL004562,PARATL002972;PARATL002970;PARATL003461,PARATL002054;PARATL002052,PARATL008488;PARATL008485,PARATL021009;PARATL020998;PARATL020990;PARATL021003;PARATL021000;PARATL020988,PARATL008107,PARATL005635,PARATL008492,PARATL021519;PARATL021518;PARATL021520,,PARATL016252,,PARATL006096;PARATL006095;PARATL006091,PARATL001715,PARATL004847,PARATL021220,PARATL020969,PARATL004454,PARATL002715,PARATL004289
ROZALL,281847,Opisthokonta,Rozella allomycis,eukaryota_odb29,71.37254902,,,11.37254902,17.25490196,True,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_rozellomycota1_collection/rozella_allomycis_csf55/pep/Rozella_allomycis_csf55.Rozella_k41_t100.pep.all.fa.gz,,euk4,ensembl,Rozella_allomycis_csf55.Rozella_k41_t100.pep.all.fa,genome,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_rozellomycota1_collection/rozella_allomycis_csf55/dna/Rozella_allomycis_csf55.Rozella_k41_t100.dna.toplevel.fa.gz ,ROZALL002573,ROZALL004385;ROZALL004720,ROZALL001523,ROZALL000053,ROZALL004397;ROZALL003096,,,,ROZALL005537,ROZALL006033;ROZALL003120,ROZALL005901,,ROZALL002803,ROZALL001364,ROZALL004778,ROZALL004263,,,,,,,ROZALL000100,,ROZALL003785,ROZALL003870,ROZALL003382,ROZALL004763,ROZALL001147,ROZALL002898,ROZALL002318,
ENCINT,876142,Opisthokonta,Encephalitozoon intestinalis ATCC 50506,eukaryota_odb30,30.58823529,,,5.098039216,64.31372549,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_microsporidia1_collection/encephalitozoon_intestinalis_atcc_50506/pep/Encephalitozoon_intestinalis_atcc_50506.ASM14646v1.pep.all.fa.gz,,euk4,ensembl,Encephalitozoon_intestinalis_atcc_50506.ASM14646v1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_microsporidia1_collection/encephalitozoon_intestinalis_atcc_50506/dna/Encephalitozoon_intestinalis_atcc_50506.ASM14646v1.dna.toplevel.fa.gz,ENCINT000657,ENCINT000273,ENCINT000522,ENCINT001278,ENCINT000517,,,,ENCINT001515,ENCINT001210,,ENCINT001314;ENCINT001563,ENCINT001508,,,,,,,,ENCINT000935,,ENCINT000238,,ENCINT000199,ENCINT000243,ENCINT001402,,ENCINT001808,ENCINT001152,,
VAVCUL,948595,Opisthokonta,Vavraia culicis floridensis,eukaryota_odb31,24.21875,,,6.25,69.53125,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_microsporidia1_collection/vavraia_culicis_subsp_floridensis/pep/Vavraia_culicis_subsp_floridensis.Vavr_culi_floridensis_V1.pep.all.fa.gz,,euk4,ensembl,Vavraia_culicis_subsp_floridensis.Vavr_culi_floridensis_V1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_microsporidia1_collection/vavraia_culicis_subsp_floridensis/dna/Vavraia_culicis_subsp_floridensis.Vavr_culi_floridensis_V1.dna.toplevel.fa.gz,VAVCUL001069,VAVCUL000297,VAVCUL001657,VAVCUL001966,VAVCUL000064,,,,VAVCUL000360,VAVCUL000540,,VAVCUL001178,VAVCUL000320,,,,,,,,VAVCUL001311,,VAVCUL000565,,VAVCUL001011,VAVCUL000719,VAVCUL002686,,VAVCUL002657,VAVCUL000791,,
PARTRI,2548444,Opisthokonta,Paraphelidium tribonemae,eukaryota_odb32,90.25157233,,,2.830188679,6.918238994,False,EukProt,,20220328,eukprot,EP00158_Paraphelidium_tribonemae.fasta,transcriptome,,PARTRI008250,PARTRI008723;PARTRI008722;PARTRI008721,PARTRI005340;PARTRI005341,PARTRI009177;PARTRI009183;PARTRI009180;PARTRI009182,PARTRI009686,,,,PARTRI009152;PARTRI009153;PARTRI009146;PARTRI009151;PARTRI009157;PARTRI009147;PARTRI009154;PARTRI009150,PARTRI010325;PARTRI003335;PARTRI009701;PARTRI009706;PARTRI003336,PARTRI004849,,PARTRI009804,PARTRI008963;PARTRI008961,PARTRI009720;PARTRI009713;PARTRI009715,,,PARTRI005920,,,PARTRI001826,,PARTRI009122,,PARTRI008347,PARTRI008458;PARTRI008459,PARTRI002326;PARTRI002324,PARTRI000769;PARTRI000772,,,,
SPIPUN,109760,Opisthokonta,Spizellomyces punctatus,eukaryota_odb33,94.921875,,,2.734375,2.34375,True,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_chytridiomycota1_collection/spizellomyces_punctatus_daom_br117/pep/Spizellomyces_punctatus_daom_br117.S_punctatus_V1.pep.all.fa.gz,,euk4,ensembl,Spizellomyces_punctatus_daom_br117.S_punctatus_V1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_chytridiomycota1_collection/spizellomyces_punctatus_daom_br117/dna/Spizellomyces_punctatus_daom_br117.S_punctatus_V1.dna.toplevel.fa.gz,SPIPUN008928,SPIPUN009390,SPIPUN009105,SPIPUN003633,SPIPUN002681,,,,SPIPUN007344;SPIPUN007542,SPIPUN003636,SPIPUN007410,SPIPUN009330,SPIPUN006143,SPIPUN002628,SPIPUN001224,SPIPUN003127,SPIPUN005761,SPIPUN003266,SPIPUN001803,,SPIPUN007195,SPIPUN000597,SPIPUN007904,,SPIPUN000841,SPIPUN007774,SPIPUN001631,SPIPUN005799,SPIPUN000371,SPIPUN002529,SPIPUN004005,SPIPUN002232
GONPRO,1123529,Opisthokonta,Gonapodya prolifera,eukaryota_odb34,91.08527132,,,3.488372093,5.426356589,False,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/574/975/GCA_001574975.1_Ganpr1/GCA_001574975.1_Ganpr1_protein.faa.gz,,euk4,gcf,GCA_001574975.1_Ganpr1_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/574/975/GCA_001574975.1_Ganpr1/GCA_001574975.1_Ganpr1_genomic.fna.gz,GONPRO009185,GONPRO008363;GONPRO008364,GONPRO001923;GONPRO001924,GONPRO009865,GONPRO010978,GONPRO012105,GONPRO011904,GONPRO009684;GONPRO009683;GONPRO009682,GONPRO012560,GONPRO009554,GONPRO012562,GONPRO003418,GONPRO003730,GONPRO005603,GONPRO004882,GONPRO008428,GONPRO011247,GONPRO003709,,,GONPRO002492,,GONPRO011397,,GONPRO008589,GONPRO009947;GONPRO009935,GONPRO011770,GONPRO009627,GONPRO010790,GONPRO002139,GONPRO010921,GONPRO012481
NEOSPE,681196,Opisthokonta,Neocallimastix sp G1,eukaryota_odb35,90.90909091,,,1.253918495,7.836990596,False,https://genome.jgi.doe.gov/portal/Neosp1/download/Neosp1_GeneCatalog_proteins_20170918.aa.fasta.gz,,20220419,jgi,Neosp1_GeneCatalog_proteins_20170918.aa.fasta,genome,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Neosp1,NEOSPE011759,,NEOSPE012306,NEOSPE018187;NEOSPE013740;NEOSPE013739,NEOSPE006263,,,,NEOSPE019197;NEOSPE013125;NEOSPE013126,NEOSPE017698;NEOSPE011072;NEOSPE017697,NEOSPE000981;NEOSPE000982,NEOSPE005374;NEOSPE005373,NEOSPE014803,NEOSPE008225;NEOSPE008226,NEOSPE004514,NEOSPE011022;NEOSPE002848,NEOSPE003519,NEOSPE017625,,NEOSPE018215;NEOSPE001011,NEOSPE007509;NEOSPE003876,NEOSPE016355,NEOSPE002529;NEOSPE002530,,NEOSPE019682;NEOSPE019693,NEOSPE011720;NEOSPE011719,NEOSPE000640;NEOSPE004908,NEOSPE016000,NEOSPE019526,NEOSPE001493,NEOSPE016589,NEOSPE017391;NEOSPE017901
ALLMAC,28583,Opisthokonta,Allomyces macrogynus,eukaryota_odb36,94.73684211,,,2.506265664,2.756892231,False,ftp://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327/pep/Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.pep.all.fa.gz,,euk4,ensembl,Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/fungi/release-34/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327/dna/Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.dna.toplevel.fa.gz,ALLMAC018666;ALLMAC016593,ALLMAC001441;ALLMAC009258,ALLMAC000787;ALLMAC015842,ALLMAC003153;ALLMAC014885,ALLMAC014015;ALLMAC015185;ALLMAC014378,,,,ALLMAC003355;ALLMAC015059,ALLMAC002923;ALLMAC014839,ALLMAC009754;ALLMAC008015,ALLMAC002798;ALLMAC015282;ALLMAC015433,ALLMAC019233;ALLMAC003850,ALLMAC008564;ALLMAC000957;ALLMAC001116,ALLMAC004289;ALLMAC017132,ALLMAC001818;ALLMAC009244,ALLMAC014438;ALLMAC003354,ALLMAC006723;ALLMAC013431,,,ALLMAC010405;ALLMAC003979;ALLMAC007055,,ALLMAC006897;ALLMAC012738,,ALLMAC012325;ALLMAC007188,ALLMAC010353;ALLMAC004973,ALLMAC005744;ALLMAC011929;ALLMAC012026,ALLMAC014467;ALLMAC002855,ALLMAC002179;ALLMAC012772,ALLMAC001245;ALLMAC008484,,
COEREV,61392,Opisthokonta,Coemansia reversa,eukaryota_odb37,93.33333333,,,3.921568627,2.745098039,False,genome.jgi.doe.gov/Coere1/download/Coere1_GeneCatalog_proteins_20110909.aa.fasta.gz,,euk4,jgi,Coere1_GeneCatalog_proteins_20110909.aa.fasta,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/705/745/GCA_002705745.1_Coere1/GCA_002705745.1_Coere1_genomic.fna.gz,COEREV001234,COEREV001757,COEREV005343,COEREV005327,COEREV001438,,,,COEREV005070,COEREV002514,COEREV003793,COEREV003065,,COEREV000122,COEREV002049,COEREV000755,COEREV001673,COEREV006591,COEREV002778,,COEREV005939,,COEREV001372,,COEREV006141,COEREV_external,COEREV006862,COEREV006609,COEREV004036,COEREV005518,COEREV001346,COEREV006733
RAMBRE,304332,Opisthokonta,Ramicandelaber brevisporus CBS 109374,eukaryota_odb38,86.77042802,,,5.836575875,7.392996109,False,http://genome.jgi.doe.gov/Rambr1/download/Rambr1_GeneCatalog_proteins_20140929.aa.fasta.gz,,euk4,jgi,Rambr1_GeneCatalog_proteins_20140929.aa.fasta,genome,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Rambr1,,RAMBRE001038,RAMBRE005966,RAMBRE001701,RAMBRE002445,,,,,RAMBRE001855,RAMBRE003579,RAMBRE005313,RAMBRE008248,RAMBRE006878,RAMBRE006490,RAMBRE003432,,RAMBRE002117,RAMBRE004359,,RAMBRE008215,,,,RAMBRE003974,RAMBRE000074,RAMBRE002623,RAMBRE004614,RAMBRE007495,RAMBRE006420,RAMBRE001029,RAMBRE001360
MORVER,1069443,Opisthokonta,Mortierella verticillata NRRL 6337,eukaryota_odb39,98.86792453,,,0.7547169811,0.3773584906,False,http://genome.jgi.doe.gov/Morve1/download/Morve1_GeneCatalog_proteins_20161024.aa.fasta.gz,,20220419,jgi,Morve1_GeneCatalog_proteins_20161024.aa.fasta,genome,https://genome.jgi.doe.gov/portal/Morve1/download/Morve1_AssemblyScaffolds.fasta.gz,MORVER003160,MORVER007664,MORVER004688,MORVER002335,MORVER003650,,,,MORVER006433,MORVER000929,MORVER005850,MORVER009908,MORVER007221,MORVER007775,MORVER001965,MORVER010935;MORVER010946,MORVER008216,,MORVER000162,MORVER000317,MORVER001283,MORVER008256,MORVER005071,,MORVER004657,MORVER012437,MORVER008421,MORVER009059,MORVER009200,MORVER010119,,MORVER000008
UMBRAM,41833,Opisthokonta,Umbelopsis ramanniana,eukaryota_odb40,96.10894942,,,1.556420233,2.33463035,False,https://genome.jgi.doe.gov/portal/Umbra1/download/Umbra1_GeneCatalog_proteins_20121109.aa.fasta.gz,,euk4,jgi,Umbra1_GeneCatalog_proteins_20121109.aa.fasta,genome,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Umbra1,UMBRAM006835;UMBRAM006834,UMBRAM002926,UMBRAM005141,UMBRAM007021,UMBRAM007003,,,,UMBRAM009095,UMBRAM004078,UMBRAM005905,UMBRAM005832,UMBRAM007162,UMBRAM000354,UMBRAM008564,UMBRAM007353;UMBRAM007354,,UMBRAM009002,UMBRAM002351,,,,UMBRAM002859,,UMBRAM006405,UMBRAM009573,UMBRAM002131,UMBRAM005647,UMBRAM004293,UMBRAM001823,UMBRAM004083,UMBRAM008209
SYNPLU,1851185,Opisthokonta,Syncephalis plumigaleata NRRL S24 v1.0,eukaryota_odb41,90.69767442,,,5.813953488,3.488372093,False,http://genome.jgi.doe.gov/Synplu1/download/Synplu1_primary_alleles_proteins_20160908.aa.fasta.gz,,20220419,jgi,Synplu1_primary_alleles_proteins_20160908.aa.fasta,genome,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Synplu1,SYNPLU001844,SYNPLU004481,SYNPLU000324,SYNPLU003840,SYNPLU002888,,,,SYNPLU005779;SYNPLU005781,SYNPLU000474;SYNPLU000363;SYNPLU005850,SYNPLU007854,SYNPLU007752,SYNPLU004337,SYNPLU003907,SYNPLU000388,SYNPLU005170,SYNPLU002559,SYNPLU000861,SYNPLU003481,,SYNPLU003150,,SYNPLU001477,,SYNPLU001335;SYNPLU000726,SYNPLU005190,SYNPLU003893,SYNPLU000174,SYNPLU000928,SYNPLU008023,SYNPLU007012,SYNPLU007099
